,image,label
0,img1.png,3
1,img2.png,2
2,img3.png,1
3,img4.png,3
4,img5.png,6
5,img6.png,8
6,img7.png,0
7,img8.png,6
8,img9.png,4
9,img10.png,2
10,img11.png,6
11,img12.png,8
12,img13.png,2
13,img14.png,4
14,img15.png,0
15,img16.png,8
16,img17.png,8
17,img18.png,1
18,img19.png,3
19,img20.png,0
20,img21.png,1
21,img22.png,8
22,img23.png,4
23,img24.png,3
24,img25.png,2
25,img26.png,4
26,img27.png,6
27,img28.png,6
28,img29.png,0
29,img30.png,4
30,img31.png,6
31,img32.png,5
32,img33.png,1
33,img34.png,3
34,img35.png,7
35,img36.png,5
36,img37.png,4
37,img38.png,5
38,img39.png,7
39,img40.png,1
40,img41.png,0
41,img42.png,5
42,img43.png,3
43,img44.png,1
44,img45.png,1
45,img46.png,8
46,img47.png,5
47,img48.png,8
48,img49.png,5
49,img50.png,5
